status;family;pval;qval;gene_short_name;num_cells_expressed;use_for_ordering
OK;negbinomial.size; 1,049707e-02; 1,935070e-02;CD3D; 196;FALSE
OK;negbinomial.size; 9,051647e-04; 1,861722e-03;UBE4A;1467;TRUE
OK;negbinomial.size; 1,479292e-21; 8,812972e-21;ATP5L;4188;TRUE
OK;negbinomial.size; 1,944936e-04; 4,253999e-04;KMT2A;2466;TRUE
OK;negbinomial.size; 3,690759e-01; 5,481530e-01;RP11-770J1.3;  86;FALSE
OK;negbinomial.size; 1,293848e-01; 2,089695e-01;TMEM25; 630;TRUE
OK;negbinomial.size; 5,821216e-04; 1,219063e-03;IFT46;1136;TRUE
OK;negbinomial.size; 8,496635e-09; 2,576233e-08;ARCN1;2299;TRUE
OK;negbinomial.size; 9,794108e-09; 2,956165e-08;PHLDB1;1017;TRUE
OK;negbinomial.size; 4,938732e-10; 1,627942e-09;DDX6;1676;TRUE
OK;negbinomial.size; 2,082205e-02; 3,721211e-02;RP11-158I9.8; 358;TRUE
OK;negbinomial.size; 1,114447e-15; 4,993612e-15;BCL9L;1106;TRUE
OK;negbinomial.size; 9,715911e-01; 1,000000e+00;UPK2;  12;FALSE
OK;negbinomial.size; 1,817263e-02; 3,265912e-02;CCDC84; 677;TRUE
OK;negbinomial.size; 9,388869e-26; 6,618250e-25;RPS25;4192;TRUE
OK;negbinomial.size; 4,050481e-31; 3,473940e-30;TRAPPC4;3253;TRUE
OK;negbinomial.size; 1,925346e-04; 4,213718e-04;SLC37A4;1484;TRUE
OK;negbinomial.size; 7,064602e-16; 3,191772e-15;HYOU1;1328;TRUE
OK;negbinomial.size; 8,996205e-01; 1,000000e+00;RP11-110I1.14;  57;FALSE
OK;negbinomial.size; 2,536007e-01; 3,890956e-01;VPS11; 714;TRUE
OK;negbinomial.size; 5,382899e-30; 4,426541e-29;HMBS;2292;TRUE
OK;negbinomial.size;5,639611e-173;8,042264e-171;H2AFX;2153;TRUE
OK;negbinomial.size; 5,595397e-09; 1,714789e-08;DPAGT1;1962;TRUE
OK;negbinomial.size; 7,577577e-03; 1,418861e-02;C2CD2L; 640;TRUE
OK;negbinomial.size; 1,520629e-04; 3,359481e-04;HINFP; 838;TRUE
OK;negbinomial.size; 4,882710e-01; 7,043395e-01;NLRX1; 498;TRUE
OK;negbinomial.size; 2,853072e-02; 5,016047e-02;CCDC153; 515;TRUE
OK;negbinomial.size; 8,684620e-06; 2,125378e-05;CBL;1349;TRUE
OK;negbinomial.size; 1,124916e-59; 2,458940e-58;MCAM;1591;TRUE
OK;negbinomial.size; 8,433216e-40; 9,962394e-39;RNF26;2142;TRUE
OK;negbinomial.size; 3,575677e-02; 6,214119e-02;USP2-AS1; 226;TRUE
OK;negbinomial.size; 2,800319e-07; 7,680680e-07;PVRL1; 891;TRUE
OK;negbinomial.size; 7,624410e-27; 5,609967e-26;OAF;3481;TRUE
OK;negbinomial.size; 7,811920e-57; 1,556148e-55;TMEM136;2524;TRUE
OK;negbinomial.size; 9,091427e-22; 5,478027e-21;ARHGEF12;1616;TRUE
OK;negbinomial.size; 7,474969e-02; 1,248236e-01;TBCEL; 411;TRUE
OK;negbinomial.size; 8,289251e-22; 5,004746e-21;SC5D;1810;TRUE
OK;negbinomial.size; 6,766407e-02; 1,137207e-01;SORL1;  87;FALSE
OK;negbinomial.size; 3,973575e-01; 5,856549e-01;BLID; 141;FALSE
OK;negbinomial.size; 1,339679e-04; 2,975078e-04;MIR100HG; 283;TRUE
OK;negbinomial.size; 3,041170e-10; 1,013987e-09;UBASH3B;1270;TRUE
OK;negbinomial.size; 1,230301e-02; 2,249979e-02;C11orf63; 422;TRUE
OK;negbinomial.size; 4,378005e-61; 9,995426e-60;HSPA8;4152;TRUE
OK;negbinomial.size; 3,150295e-82; 1,152841e-80;CLMP;3110;TRUE
OK;negbinomial.size;5,443665e-108;3,217493e-106;GRAMD1B;1376;TRUE
OK;negbinomial.size; 1,393606e-20; 7,972084e-20;ZNF202; 889;TRUE
OK;negbinomial.size; 1,408483e-01; 2,262033e-01;VWA5A; 299;TRUE
OK;negbinomial.size; 1,153431e-42; 1,505072e-41;TBRG1;2916;TRUE
OK;negbinomial.size; 6,143205e-08; 1,765250e-07;SIAE; 689;TRUE
OK;negbinomial.size; 2,701767e-02; 4,763085e-02;SPA17;1581;TRUE
OK;negbinomial.size; 2,052725e-46; 2,996212e-45;NRGN;1865;TRUE
OK;negbinomial.size; 9,875349e-01; 1,000000e+00;VSIG2;   7;FALSE
OK;negbinomial.size; 9,728653e-01; 1,000000e+00;ESAM;  61;FALSE
OK;negbinomial.size; 3,638309e-02; 6,317466e-02;MSANTD2; 606;TRUE
OK;negbinomial.size; 9,047087e-01; 1,000000e+00;AP000866.1;  43;FALSE
OK;negbinomial.size; 1,000000e+00; 1,000000e+00;RP11-677M14.7;  85;FALSE
OK;negbinomial.size; 1,167115e-03; 2,374402e-03;ROBO3;1657;TRUE
OK;negbinomial.size; 2,621806e-11; 9,251496e-11;ROBO4; 975;TRUE
OK;negbinomial.size; 1,000000e+00; 1,000000e+00;HEPN1;   8;FALSE
OK;negbinomial.size; 1,578583e-15; 7,038207e-15;CCDC15; 811;TRUE
OK;negbinomial.size; 9,322044e-01; 1,000000e+00;SLC37A2; 121;FALSE
OK;negbinomial.size; 3,944984e-17; 1,893255e-16;TMEM218;1438;TRUE
OK;negbinomial.size; 4,762993e-03; 9,100538e-03;FEZ1; 160;FALSE
OK;negbinomial.size; 2,461563e-24; 1,646050e-23;EI24;3875;TRUE
OK;negbinomial.size; 1,832597e-04; 4,018073e-04;STT3A;1385;TRUE
OK;negbinomial.size; 2,205586e-23; 1,414266e-22;CHEK1;1729;TRUE
OK;negbinomial.size; 4,794675e-10; 1,581037e-09;HYLS1; 576;TRUE
OK;negbinomial.size; 6,878362e-04; 1,429287e-03;PUS3;1686;TRUE
OK;negbinomial.size; 1,000000e+00; 1,000000e+00;CDON;  41;FALSE
OK;negbinomial.size; 2,043436e-04; 4,461836e-04;RPUSD4;1692;TRUE
OK;negbinomial.size; 2,737886e-01; 4,172902e-01;FAM118B;1014;TRUE
OK;negbinomial.size; 5,695456e-24; 3,735125e-23;SRPRA;3051;TRUE
OK;negbinomial.size; 1,602785e-02; 2,894064e-02;FOXRED1;1118;TRUE
OK;negbinomial.size; 1,123384e-01; 1,830337e-01;TIRAP; 133;FALSE
OK;negbinomial.size; 3,378925e-04; 7,225100e-04;RP11-712L6.5; 397;TRUE
OK;negbinomial.size; 2,312353e-20; 1,308198e-19;DCPS;1930;TRUE
OK;negbinomial.size; 1,019886e-01; 1,671864e-01;ST3GAL4-AS1; 258;TRUE
OK;negbinomial.size; 8,350861e-07; 2,199154e-06;ST3GAL4;2271;TRUE
OK;negbinomial.size; 6,242740e-01; 8,706788e-01;KIRREL3; 128;FALSE
OK;negbinomial.size; 1,210956e-32; 1,106737e-31;RP11-115C10.1; 993;TRUE
OK;negbinomial.size; 1,146818e-05; 2,780466e-05;RP11-688I9.2; 293;TRUE
OK;negbinomial.size; 9,957064e-01; 1,000000e+00;RP11-702B10.2;  51;FALSE
OK;negbinomial.size; 6,951806e-52; 1,198753e-50;ETS1;2173;TRUE
