gene;cluster
MAZ;4
SRSF1;4
SNHG10;4
RHNO1;4
CMTM3;4
C9orf142;4
HJURP;4
TFAM;4
HSPA1B;4
PARP1;4
CKS2;4
SOCS2;4
C19orf48;4
ANP32E;4
ANLN;4
HIST1H1C;4
AC004556.1;4
SNX9;4
HIST2H2BE;4
GAS6;4
CDC42EP1;4
MYEOV;4
FOXM1;4
SGOL2;4
GLIPR2;4
BCL7C;4
STK17B;4
KLHL18;4
C1QL1;4
WHSC1L1;4
ADI1;4
RFC3;4
HMMR;4
PLPP4;4
SMAD1;4
MBNL1;4
COL4A2;4
MYBL2;4
SGOL1;4
HMGN2;4
ZDHHC6;4
TAOK3;4
GINS2;4
RAD51C;4
BCAP29;4
SRSF10;4
GALNT1;4
GPSM2;4
EXOSC6;4
ENSA;4
AC015922.6;4
DKK3;4
PAWR;4
ACYP1;4
RP11-156K23.3;4
MRPL1;4
CREB3L2;4
TWIST2;4
LSM6;4
RNASEH2A;4
STAG1;4
CDCA5;4
C7orf49;4
BPGM;4
HIST2H2AC;4
EIF5A;4
HOXB2;4
ECT2;4
RGS3;4
SUDS3;4
MRPL13;4
NUCKS1;4
DUSP14;4
CNRIP1;4
CCNB2;4
DIAPH3;4
PTPRE;4
DHRS2;4
MELK;4
TACC3;4
TPM1;4
APITD1;4
AGAP2-AS1;4
ARL6IP6;4
ADAM9;4
ASF1B;4
CBX1;4
YEATS4;4
PSMC3IP;4
PSMG3;4
SERPINF1;4
PPP3CA;4
MRPL15;4
G3BP1;4
EIF1AY;4
KIF23;4
CASP8;4
PSMB9;4
CCDC144NL-AS1;4
KLF6;4
SNX7;4
PRR7;4
MAN1A1;4
FAM216A;4
ASAP1;4
MZT1;4
FAM111A;4
CENPM;4
SIGMAR1;4
CDCA8;4
NASP;4
CD82;4
RAD51AP1;4
CDK2AP1;4
PCM1;4
DECR1;4
RSRC1;4
BCLAF1;4
WDR70;4
ANTXR2;4
VCL;4
UNG;4
ZSCAN16-AS1;4
RIN2;4
CDCA7;4
ATAD2;4
MYCBP2;4
CENPH;4
ATP5I;4
PCNA;4
EPB41L2;4
NF2;4
PHF19;4
CALM2;4
LRR1;4
RNASEH1-AS1;4
DLEU2;4
GGH;4
SMIM10L1;4
CENPE;4
PAQR4;4
PXMP2;4
RP5-1028K7.2;4
C8orf4;4
ATAD5;4
ZFP36L2;4
SCOC;4
CRNDE;4
SDF2L1;4
SLC39A10;4
FGD5-AS1;4
RRM1;4
PHF11;4
SIVA1;4
SPC25;4
MED30;4
VRK1;4
CENPB;4
RPA3;4
C5orf56;4
RFC1;4
MSRB3;4
ATP13A2;4
DHX9;4
PRKDC;4
THAP7;4
HIRIP3;4
E2F1;4
ORC6;4
NAA38;4
DLGAP5;4
FBXO5;4
VEPH1;4
PGM2L1;4
PGP;4
EML4;4
SNX5;4
PSAT1;4
NDC80;4
TJP1;4
KIF22;4
MCM3;4
CDCA3;4
DBF4;4
CHCHD7;4
NAA50;4
LMNB1;4
SDCCAG8;4
RRBP1;4
RB1;4
FAM133B;4
PSIP1;4
EIF4E;4
SNHG21;4
SPC24;4
FGFR1OP2;4
TCTEX1D2;4
DUSP10;4
MDFIC;4
KIAA1524;4
HERPUD1;4
ASNSD1;4
INHBA;4
SSFA2;4
STEAP1;4
UHRF1;4
RAD21;4
ITGA10;4
RACGAP1;4
GPAA1;4
MCM5;4
PHF14;4
MAGOHB;4
RABIF;4
PSMB8;4
RP11-1094M14.11;4
NCAM1;4
H1FX;4
SGCE;4
C14orf142;4
PPP1R12A;4
CHMP3;4
LMNB2;4
SMC1A;4
CTHRC1;4
TMEM154;4
ESCO2;4
TPST2;4
CDK11B;4
EXOG;4
GPX8;4
TCF4;4
SSX1;4
HS3ST3A1;4
HNRNPR;4
PLS3;4
BACH1;4
SORBS3;4
EID1;4
SLC38A2;4
MIR222HG;4
PPIL1;4
TACC1;4
RCC2;4
SMARCA5;4
CDH2;4
MND1;4
IMMP1L;4
RGS2;4
ITGBL1;4
DDAH1;4
RBMS1;4
OSR2;4
PALLD;4
NUP37;4
JPX;4
HOXA10;4
CHRAC1;4
NEK2;4
HMGXB4;4
SS18L2;4
NPAS2;4
EEA1;4
PTMS;4
MKKS;4
MSRB1;4
PEG10;4
SRSF7;4
KIF2C;4
SNRPF;4
GALNT7;4
SHOC2;4
ARL6IP1;4
C16orf91;4
NCL;4
LINC01184;4
PSRC1;4
MRPS14;4
NR2F1;4
RP11-350J20.12;4
SUPT16H;4
CHAF1A;4
HNRNPH1;4
EZH2;4
CHD3;4
C7orf55;4
DOCK4;4
AMIGO2;4
BAZ1B;4
HYI;4
S100A3;4
UBN1;4
KIFC1;4
CFAP97;4
RMI2;4
BORCS8;4
TGM2;4
R3HDM1;4
C5orf24;4
MCM4;4
WHSC1;4
CHD9;4
CASC5;4
ZCCHC9;4
RFC4;4
PDLIM3;4
SCLT1;4
C16orf59;4
C8orf33;4
JMJD8;4
H2AFJ;4
CDCA2;4
PABPN1;4
TOPBP1;4
FAM126A;4
PPA2;4
ASS1;4
ANKRD9;4
LARP7;4
COG3;4
ARHGAP11A;4
YAF2;4
MRPS28;4
CCDC14;4
DR1;4
SPDL1;4
RFC2;4
C9orf3;4
MIS18A;4
ZNF644;4
