gene;cluster
ZFP36;4
SGK1;4
CMSS1;4
H2AFX;4
TFDP1;4
ZWINT;4
DTYMK;4
CLSPN;4
CKLF;4
SNHG25;4
HELLS;4
DNMT1;4
FEN1;4
SNHG19;4
CENPN;4
AC090498.1;4
CALD1;4
CHMP1B;4
TMPO;4
MT-ATP8;4
HNRNPAB;4
TOMM5;4
PMAIP1;4
ARHGDIB;4
SNHG9;4
RHOB;4
VMP1;4
SMIM4;4
HSPA1A;4
HMGB1;4
S100A4;4
TMEM160;4
IRF1;4
COL4A1;4
GMNN;4
H2AFV;4
USP1;4
TYMS;4
HIST1H1E;4
POLE3;4
RP11-386I14.4;4
ANKRD28;4
FABP5;4
DCTPP1;4
DNAJC9;4
CCDC34;4
UBE2S;4
CSTF3;4
TPST1;4
AMOTL2;4
SVIL;4
PRPF4B;4
CTD-3252C9.4;4
SRSF3;4
MT-ND6;4
SMARCD1;4
ATP5G1;4
WDR34;4
DAAM1;4
PARP1;4
SVIP;4
DAP;4
TIMM8B;4
COMMD4;4
ITGAE;4
POLR3K;4
RANBP1;4
ANP32E;4
C20orf27;4
MT-ND5;4
MRPL23;4
PMEPA1;4
CYB5B;4
TRIP13;4
TCF19;4
NOG;4
TSPAN9;4
RRP15;4
ETS2;4
EIF3J;4
LRRC17;4
KIF9;4
NTM;4
SRSF2;4
GPATCH4;4
CTNNAL1;4
HNRNPM;4
CEBPD;4
CMC2;4
LBH;4
MYBL2;4
PLXNA1;4
RNF220;4
DDX39A;4
POP7;4
C19orf48;4
RAD51C;4
TFAM;4
RPA3;4
MTHFD2L;4
PNKD;4
FOXM1;4
PPIF;4
SERPINF1;4
C9orf142;4
HMGN2;4
PRR34-AS1;4
PRNP;4
NASP;4
RP11-680F8.1;4
PXDN;4
CDCA5;4
HSPE1;4
AMD1;4
LSM10;4
PCNA;4
RFC3;4
CENPM;4
SNHG10;4
SFPQ;4
ADI1;4
AC015922.6;4
DLEU1;4
HSPA1B;4
AC004556.1;4
BCL7C;4
SRSF10;4
DHRS2;4
MYEOV;4
BATF3;4
SRSF1;4
COTL1;4
EIF5A;4
SAE1;4
KLHL18;4
PLPP4;4
CMTM3;4
NOP56;4
SOCS2;4
GLIPR2;4
STK17B;4
PCIF1;4
HIST2H2AC;4
COL4A2;4
APITD1;4
MRPL4;4
ZDHHC6;4
SMAD1;4
HIST2H2BE;4
SUN1;4
EXOSC6;4
STRA13;4
RP11-156K23.3;4
C7orf49;4
E2F1;4
SIGMAR1;4
TIMM10;4
PXMP2;4
ITPA;4
PRR7;4
SSBP4;4
BRD7;4
MRPL1;4
VCL;4
TIMM13;4
CD82;4
FOXD1;4
ATAD5;4
PCGF5;4
LRR1;4
BCL2L11;4
PSMG3;4
PHF19;4
BAG2;4
HSD17B10;4
G3BP1;4
ATP5J2;4
SRSF7;4
RUVBL1;4
BPGM;4
EBNA1BP2;4
MCAM;4
CCDC69;4
GLS;4
KLF6;4
RSRC1;4
PSME2;4
GTF2H2;4
ISOC2;4
MRPL11;4
CASP8;4
PRKDC;4
ADA;4
PCM1;4
MRPL20;4
SIVA1;4
DUSP14;4
FGD5-AS1;4
CHCHD1;4
ZSCAN16-AS1;4
CDCA7;4
DLEU2;4
MRPL34;4
SMIM13;4
ATP5I;4
RNASEH1-AS1;4
GGCT;4
SNRPG;4
UNG;4
NAA38;4
HSPH1;4
CDK2AP1;4
MAN1A1;4
MAP2K3;4
NMT1;4
ADSL;4
MLLT11;4
WDR70;4
KHSRP;4
UHRF1;4
ATP13A2;4
MRPS26;4
EXOSC3;4
PTPMT1;4
MAGEA3;4
PSMB8;4
ARHGAP29;4
ZFP36L2;4
SS18L2;4
RRS1;4
NPM3;4
CREB5;4
SMIM10L1;4
MINOS1;4
PSME3;4
ERH;4
BCLAF1;4
HNRNPD;4
HNRNPR;4
MDFIC;4
PHF14;4
ALG13;4
CDC123;4
SRM;4
MT-CO3;4
NAA50;4
CISD1;4
SNRPD1;4
AP2B1;4
ATP5G3;4
DHX9;4
CENPB;4
SPC24;4
SNRPF;4
MKKS;4
SNHG21;4
MT-ATP6;4
RABIF;4
SHKBP1;4
PGM2L1;4
EML4;4
ATIC;4
C8orf4;4
PMVK;4
GTF3C6;4
PLAU;4
BANF1;4
NDUFAF4;4
TIMM8A;4
SDF2L1;4
NDUFB2;4
FAM133B;4
MAX;4
RP11-1094M14.11;4
CNN2;4
LSM5;4
PAK1IP1;4
IFRD2;4
U2SURP;4
LYAR;4
C5orf24;4
MAGEA6;4
RNASEH2C;4
TOP1;4
DUSP10;4
TOPBP1;4
SKA3;4
ETV5;4
RRP36;4
PSMG1;4
NEDD9;4
SMIM12;4
TIMMDC1;4
MIR222HG;4
CENPV;4
HNRNPA2B1;4
FAM96A;4
SUPT16H;4
HNRNPH1;4
NCL;4
CDK11B;4
CLTB;4
HN1;4
HOXA10;4
ZDHHC12;4
ATOX1;4
RCC2;4
NCAPD3;4
S100A3;4
PHF5A;4
FANCB;4
CBR3;4
SRSF6;4
VCX;5
VCX3B;5
TEX29;5
KRT81;5
MT1E;5
PAGE1;5
JUND;5
NNMT;5
HMGN3;5
ISG15;5
CCL2;5
SEPW1;5
NFKBIA;5
IFI6;5
SNRNP25;5
BST2;5
SLC30A1;5
RP11-670E13.6;5
SFRP1;5
GALNT8;5
IFI27;5
AKR1B1;5
ANAPC15;5
C16orf74;5
CMTM8;5
SNHG15;5
OCIAD2;5
ARID5B;5
IRS2;5
ZNF428;5
C17orf89;5
ODC1;5
GCSH;5
C16orf45;5
BAG1;5
SAC3D1;5
NFKBIZ;5
C11orf31;5
ABL2;5
KRT18;5
PTX3;5
CREM;5
RP11-307P5.1;5
MIR4458HG;5
RAB30-AS1;5
PKIG;5
ADAR;5
GMFG;5
CDA;5
RP11-14N7.2;5
CTSZ;5
RP11-160O5.1;5
THYN1;5
STAT1;5
PCBD1;5
IER3;5
ZNHIT2;5
ZNF655;5
STX3;5
DDA1;5
BCYRN1;5
JUNB;5
FDX1;5
BRMS1;5
EPC1;5
THUMPD3-AS1;5
TNFAIP3;5
FOXP1;5
CXCL3;5
KRT7;5
HRAS;5
AKAP12;5
MRPS25;5
MAFG;5
BIN1;5
APOA1BP;5
CNPY2;5
CHI3L1;5
ACAT1;5
NOP16;5
KCNMA1;5
TIMP2;5
MYC;5
TMEM126A;5
PDP1;5
METTL12;5
PBDC1;5
HEG1;5
MT-ND1;5
STARD10;5
RAP2B;5
CISD3;5
NDUFS6;5
FOSB;5
MSX1;5
DUSP1;5
RP11-554I8.2;5
TMEM126B;5
LRFN4;5
ISCU;5
ESRRA;5
CAMK1D;5
LINC00657;5
DCUN1D5;5
TP53I3;5
UROD;5
RND3;5
AURKAIP1;5
YRDC;5
MDM2;5
C19orf25;5
COX14;5
ZFAND5;5
